lemma;name;type
bergen ( l. );Bergen (L.);Constant
bergen ( nh . );Bergen (NH.);Constant
bergen op zoom;Bergen op Zoom;Constant
berkelland;Berkelland;Constant
bernheze;Bernheze;Constant
best;Best;Constant
beuningen;Beuningen;Constant
beverwijk;Beverwijk;Constant
het bildt;het Bildt;Constant
de bilt;De Bilt;Constant
binnenmaas;Binnenmaas;Constant
bladel;Bladel;Constant
blaricum;Blaricum;Constant
bloemendaal;Bloemendaal;Constant
bodegraven-reeuwijk;Bodegraven-Reeuwijk;Constant
boekel;Boekel;Constant
ten boer;Ten Boer;Constant
borger-odoorn;Borger-Odoorn;Constant
borne;Borne;Constant
borsele;Borsele;Constant
boxmeer;Boxmeer;Constant
boxtel;Boxtel;Constant
breda;Breda;Constant
brielle;Brielle;Constant
bronckhorst;Bronckhorst;Constant
brummen;Brummen;Constant
brunssum;Brunssum;Constant
bunnik;Bunnik;Constant
bunschoten;Bunschoten;Constant
buren;Buren;Constant
capelle aan den ijssel;Capelle aan den IJssel;Constant
castricum;Castricum;Constant
coevorden;Coevorden;Constant
cranendonck;Cranendonck;Constant
cromstrijen;Cromstrijen;Constant
cuijk;Cuijk;Constant
culemborg;Culemborg;Constant
dalfsen;Dalfsen;Constant
dantumadiel;Dantumadiel;Constant
delft;Delft;Constant
delfzijl;Delfzijl;Constant
deurne;Deurne;Constant
deventer;Deventer;Constant
diemen;Diemen;Constant
dinkelland;Dinkelland;Constant
doesburg;Doesburg;Constant
doetinchem;Doetinchem;Constant
dongen;Dongen;Constant
dongeradeel;Dongeradeel;Constant
dordrecht;Dordrecht;Constant
drechterland;Drechterland;Constant
drimmelen;Drimmelen;Constant
dronten;Dronten;Constant
druten;Druten;Constant
duiven;Duiven;Constant
echt-susteren;Echt-Susteren;Constant
edam-volendam;Edam-Volendam;Constant
ede;Ede;Constant
eemnes;Eemnes;Constant
eemsmond;Eemsmond;Constant
eersel;Eersel;Constant
eijsden-margraten;Eijsden-Margraten;Constant
eindhoven;Eindhoven;Constant
elburg;Elburg;Constant
emmen;Emmen;Constant
enkhuizen;Enkhuizen;Constant
enschede;Enschede;Constant
epe;Epe;Constant
ermelo;Ermelo;Constant
etten-leur;Etten-Leur;Constant
ferwerderadiel;Ferwerderadiel;Constant
franekeradeel;Franekeradeel;Constant
de fryske marren;De Fryske Marren;Constant
geertruidenberg;Geertruidenberg;Constant
geldermalsen;Geldermalsen;Constant
geldrop-mierlo;Geldrop-Mierlo;Constant
gemert-bakel;Gemert-Bakel;Constant
gennep;Gennep;Constant
giessenlanden;Giessenlanden;Constant
gilze en rijen;Gilze en Rijen;Constant
goeree-overflakkee;Goeree-Overflakkee;Constant
goes;Goes;Constant
goirle;Goirle;Constant
gooise meren;Gooise Meren;Constant
gorinchem;Gorinchem;Constant
gouda;Gouda;Constant
grave;Grave;Constant
' s-gravenhage;'s-Gravenhage;Constant
den haag;'s-Gravenhage;Constant
groningen;Groningen;Constant
grootegast;Grootegast;Constant
gulpen-wittem;Gulpen-Wittem;Constant
haaksbergen;Haaksbergen;Constant
haaren;Haaren;Constant
